,Discipline,Field,Topic
1891,Physical Sciences,Classical physics,Electrostatics and electrodynamics 
1892,Physical Sciences,Classical physics,Thermodynamics and statistical physics 
1893,Physical Sciences,Classical physics,Classical physics n
1894,Physical Sciences,Condensed matter physics,Condensed matter characterisation technique development
1895,Physical Sciences,Condensed matter physics,Condensed matter imaging
1896,Physical Sciences,Condensed matter physics,Condensed matter modelling and density functional theory
1897,Physical Sciences,Condensed matter physics,Electronic and magnetic properties of condensed matter
1898,Physical Sciences,Condensed matter physics,Soft condensed matter
1899,Physical Sciences,Condensed matter physics,Structural properties of condensed matter
1900,Physical Sciences,Condensed matter physics,Surface properties of condensed matter
1901,Physical Sciences,Condensed matter physics,Condensed matter physics 
1902,Physical Sciences,Medical and biological physics,Biological physics
1903,Physical Sciences,Medical and biological physics,Medical physics
1904,Physical Sciences,Medical and biological physics,Medical and biological physics 
1905,Physical Sciences,Nuclear and plasma physics,Nuclear physics
1906,Physical Sciences,Nuclear and plasma physics,Plasma physics
1907,Physical Sciences,Nuclear and plasma physics,Nuclear and plasma physics 
1908,Physical Sciences,Particle and high energy physics,Astroparticle physics and particle cosmology
1909,Physical Sciences,Particle and high energy physics,Field theory and string theory
1910,Physical Sciences,Particle and high energy physics,Particle physics
1911,Physical Sciences,Particle and high energy physics,Particle and high energy physics 
1912,Physical Sciences,Quantum physics,Degenerate quantum gases and atom optics
1913,Physical Sciences,Quantum physics,Foundations of quantum mechanics
1914,Physical Sciences,Quantum physics,"Quantum information, computation and communication"
1915,Physical Sciences,Quantum physics,Quantum optics and quantum optomechanics
1916,Physical Sciences,Quantum physics,Quantum technologies
1917,Physical Sciences,Quantum physics,Quantum physics 
1918,Physical Sciences,Space sciences,Astrodynamics and space situational awareness
1919,Physical Sciences,Space sciences,Heliophysics and space weather
1920,Physical Sciences,Space sciences,"Mesospheric, thermospheric, ionospheric and magnetospheric physics"
1921,Physical Sciences,Space sciences,Solar system energetic particles
1922,Physical Sciences,Space sciences,Solar system planetary science (excl. planetary geology)
1923,Physical Sciences,Space sciences,Space instrumentation
1924,Physical Sciences,Space sciences,Space sciences 
1925,Physical Sciences,Synchrotrons and accelerators,Accelerators
1926,Physical Sciences,Synchrotrons and accelerators,Instruments and techniques
1927,Physical Sciences,Synchrotrons and accelerators,Synchrotrons
1928,Physical Sciences,Synchrotrons and accelerators,Synchrotrons and accelerators 
1929,Physical Sciences,Other physical sciences,Complex physical systems
1930,Physical Sciences,Other physical sciences,Other physical sciences n
1931,Psychology,Applied and developmental psychology,Child and adolescent development 
1932,Psychology,Applied and developmental psychology,Educational psychology
1933,Psychology,Applied and developmental psychology,Forensic psychology
1934,Psychology,Applied and developmental psychology,Industrial and organisational psychology (incl. human factors)
1935,Psychology,Applied and developmental psychology,"Psychological methodology, design and analysis"
1936,Psychology,Applied and developmental psychology,Psychology of ageing
1937,Psychology,Applied and developmental psychology,Sport and exercise psychology
1938,Psychology,Applied and developmental psychology,"Testing, assessment and psychometrics"
1939,Psychology,Applied and developmental psychology,Applied and developmental psychology 
1940,Psychology,Biological psychology ,Behavioural genetics
1941,Psychology,Biological psychology ,Behavioural neuroscience
1942,Psychology,Biological psychology ,Cognitive neuroscience
1943,Psychology,Biological psychology ,Evolutionary psychological studies
1944,Psychology,Biological psychology ,Psychopharmacology
1945,Psychology,Biological psychology ,Psychophysiology 
1946,Psychology,Biological psychology ,Social and affective neuroscience
1947,Psychology,Biological psychology ,Biological psychology 
1948,Psychology,Clinical and health psychology,Clinical neuropsychology
1949,Psychology,Clinical and health psychology,Clinical psychology
1950,Psychology,Clinical and health psychology,Counselling psychology
1951,Psychology,Clinical and health psychology,Health psychology
1952,Psychology,Clinical and health psychology,Clinical and health psychology 
1953,Psychology,Cognitive and computational psychology,Cognition
1954,Psychology,Cognitive and computational psychology,Decision making
1955,Psychology,Cognitive and computational psychology,"Learning, motivation and emotion"
1956,Psychology,Cognitive and computational psychology,Memory and attention
1957,Psychology,Cognitive and computational psychology,Psycholinguistics (incl. speech production and comprehension)
1958,Psychology,Cognitive and computational psychology,"Sensory processes, perception and performance"
1959,Psychology,Cognitive and computational psychology,Cognitive and computational psychology 
1960,Psychology,Social and personality psychology,Community psychology
1961,Psychology,Social and personality psychology,Gender psychology
1962,Psychology,Social and personality psychology,Personality and individual differences
1963,Psychology,Social and personality psychology,Psychology of religion 
1964,Psychology,Social and personality psychology,Social psychology
1965,Psychology,Social and personality psychology,Social and personality psychology 
1966,Psychology,Other psychology ,Other psychology 
